localityId, localityName, dataId, x, y, latitude, longitude, zone, altitude, horiz_precision, vert_precision, planeType, dip, dipAzimuth, strike, declination, unitId, timedate, notes
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 320f50b4e19adde8e0cead9418d86409, 584049.32016981, 5622280.95717361, 50.74622063, 100.19133252, 47U, 4.00000000, 5.00000000, -1.00000000, Bedding, 79.19439697, 268.25579834, 178.25579834, -1.39611816, Phosphatic chert, Sun Aug 13 00:45:20 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 5380bea7e14b5171267ac0904174fafd, 584052.51777426, 5622282.93844492, 50.74623798, 100.19137829, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 69.78010559, 277.34371948, 187.34371948, -1.39611816, Phosphatic chert, Sun Aug 13 00:44:49 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, ea517079874dc7d1904b13e899951548, 584071.33826715, 5622288.84910616, 50.74628840, 100.19164634, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 74.32507324, 278.17291260, 188.17291260, -1.39611816, Limestone, Sun Aug 13 00:42:57 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 67b0c343b36be7e4dbf92d8ad9aa19d5, 584073.26780842, 5622288.76831518, 50.74628740, 100.19167366, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 74.63611603, 286.82510376, 196.82510376, -1.39611816, Limestone, Sun Aug 13 00:40:48 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 4de1e8864f28f67d661cd2b6af5c4943, 584087.19745522, 5622297.20126302, 50.74636120, 100.19187299, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 61.33157349, 267.09860229, 177.09860229, -1.39611816, Limestone, Sun Aug 13 00:39:26 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, e76e3d67da3ec4fe0a5f7001df163794, 584096.27268794, 5622299.65482222, 50.74638194, 100.19200215, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 45.32632828, 304.85977173, 214.85977173, -1.39611816, Phosphorite, Sun Aug 13 00:38:09 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, b8cd8a60e920c04ddd16dd545dd84957, 584097.25506506, 5622299.25579467, 50.74637821, 100.19201598, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 59.16033554, 298.11511230, 208.11511230, -1.39611816, Phosphorite, Sun Aug 13 00:37:27 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 7a181d88163973fa220ff4aa8f1b4ead, 584093.68855064, 5622295.57649856, 50.74634565, 100.19196460, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 47.28257751, 265.43911743, 175.43911743, -1.39611816, Phosphorite, Sun Aug 13 00:36:48 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 08e69af49be8c4dc1bc0ff07cdf1947d, 584093.49587112, 5622295.78781409, 50.74634758, 100.19196192, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 58.66288376, 280.50674438, 190.50674438, -1.39611816, Limestone, Sun Aug 13 00:35:56 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 9a1a54c74dfab3e88a1a42fabfa47fde, 584097.95974134, 5622297.36999857, 50.74636116, 100.19202554, 47U, 3.00000000, 5.00000000, -1.00000000, Fault, 47.31312943, 93.62059021, 3.62059021, -1.39611816, Fault, Sun Aug 13 00:00:40 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, eed07cf72c5075989eb4c4dcb089eb3b, 584430.01143640, 5621660.04823286, 50.74058284, 100.19658496, 47U, 8.00000000, 5.00000000, -1.00000000, Cleavage, 66.03079224, 163.62617493, 73.62617493, -1.39611816, Arasan, Sat Aug 12 05:15:31 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 6df79250b9b34bd58ec1461c53e51e2d, 584430.40103763, 5621667.41473574, 50.74064902, 100.19659217, 47U, 32.00000000, 30.00000000, -1.00000000, Cleavage, 54.20200729, 148.44705200, 58.44705200, -1.39611816, Arasan, Sat Aug 12 05:15:04 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 19e5357e222c81d555dfdbc92468f415, 584430.38123852, 5622353.23739036, 50.74681520, 100.19674907, 47U, 12.00000000, 5.00000000, -1.00000000, Cleavage, 43.59617233, 101.98741150, 11.98741150, -1.39611816, Ongoluk, Sat Aug 12 04:56:56 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 7e755dffa60dffaa3905c18ba95f1440, 584368.89250949, 5622331.56084820, 50.74662925, 100.19587275, 47U, 8.00000000, 5.00000000, -1.00000000, Cleavage, 56.72233582, 101.95925140, 11.95925140, -1.39611816, Ongoluk, Sat Aug 12 04:55:33 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, d2a42b89811cf128eda24eabeadfe549, 584323.72981446, 5622319.67183302, 50.74652892, 100.19523002, 47U, 3.00000000, 5.00000000, -1.00000000, Cleavage, 40.16351700, 72.46197510, 342.46197510, -1.39611816, Ongoluk, Sat Aug 12 04:51:52 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, e938eca4db563c831d9053334d65b327, 584316.02729881, 5622316.09802949, 50.74649791, 100.19512005, 47U, 16.00000000, 10.00000000, -1.00000000, Cleavage, 53.44487381, 60.68938446, 330.68939209, -1.39611816, Ongoluk, Sat Aug 12 04:51:32 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 05ead8ead387818a52d464e703fc2929, 584297.75265405, 5622310.47030915, 50.74644996, 100.19485979, 47U, 3.00000000, 5.00000000, -1.00000000, Cleavage, 46.34387589, 96.93450165, 6.93450165, -1.39611816, Ongoluk, Sat Aug 12 04:50:35 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 419da10349656918ac4d574c4d4094c2, 584297.75265405, 5622310.47030915, 50.74644996, 100.19485979, 47U, 3.00000000, 5.00000000, -1.00000000, Cleavage, 51.19362259, 102.13021088, 12.13021088, -1.39611816, Ongoluk, Sat Aug 12 04:50:20 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 2226638ef90dc3c801d9e967c40ad23f, 584064.96427890, 5622416.13983387, 50.74743379, 100.19158507, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 67.43038940, 291.26870728, 201.26870728, -1.39611816, Phosphatic chert, Sat Aug 12 02:53:46 2017, 
